SMILES,PfDHFR_Docking,hDHFR_Docking,hERG_Toxicity_Prob,Caco2_logPapp,Half_Life_hours,PfDHFR_Docking_LE,hDHFR_Docking_LE,Selectivity_Index,Selectivity_Index_LE
CCNC(=O)NC1CN(CC(=O)NCc2ccccc2C)C[C@@H]1OC,-7.58,-7.941,0.8728132843971252,-4.72193717956543,7.556003570556641,-0.3032,-0.31764,-0.36099999999999977,-0.014439999999999953
Cc1ccc(NC(=S)c2ccncc2)cc1,-7.452,-7.967,0.052523087710142136,-4.621105670928955,3.665815830230713,-0.46575,-0.4979375,-0.5149999999999997,-0.03218749999999998
CC(C)c1ccc(OCC(=O)N2CCN(CCc3ccccn3)CC2)cc1,-8.137,-9.254,0.9630894064903259,-4.9124369621276855,3.8198254108428955,-0.3013703703703704,-0.34274074074074073,-1.116999999999999,-0.041370370370370335
Cc1ccc2c(ccn3cc4c(c(=O)n(C)c(=O)n4C)c23)c1,-8.301,-8.16,0.628858208656311,-4.639569282531738,12.594632148742676,-0.37731818181818183,-0.3709090909090909,0.14100000000000001,0.00640909090909092
CCCN(CCC)S(=O)(=O)c1ccc(C(=O)N[C@@H](CS)C(N)=O)cc1,-7.312,-7.825,0.8201243281364441,-5.512015342712402,7.783029079437256,-0.29248,-0.313,-0.5129999999999999,-0.020519999999999983
CN(Cc1ccccc1)CC(C(=O)c1ccc(Cl)cc1)n1cnc2ccccc2c1=O,-10.47,-8.206,0.410875529050827,-4.844489574432373,15.076746940612793,-0.337741935483871,-0.2647096774193548,2.264000000000001,0.07303225806451619
CCC(C)c1ccc(Nc2nc(C)cs2)cc1,-7.849,-7.613,0.38339561223983765,-4.851817607879639,10.879562377929688,-0.4617058823529412,-0.44782352941176473,0.23599999999999977,0.013882352941176457
Cc1ccc(C)c2c(=O)cc(CN3CC[C@@H](N)[C@H](O)C3)[nH]c12,-8.68,-9.06,0.9582354426383972,-5.2490339279174805,2.4211881160736084,-0.39454545454545453,-0.41181818181818186,-0.3800000000000008,-0.01727272727272733
O=C(O)c1ccc2sc(Cn3ccnc3)c(Br)c2c1,-7.658,-6.974,0.05253323167562485,-5.262714385986328,2.38084077835083,-0.4030526315789474,-0.36705263157894735,0.6840000000000002,0.03600000000000003
CNC(=O)[C@@H]1Cc2ccc(NS(=O)(=O)O)cc2CN1C(=O)CCc1cccc(O)c1,-9.638,-9.977,0.4495086669921875,-5.513730049133301,1.6371766328811646,-0.32126666666666664,-0.3325666666666667,-0.3390000000000004,-0.011300000000000032
