SMILES,PfDHFR_Docking,hDHFR_Docking,hERG_Toxicity_Prob,Caco2_logPapp,Half_Life_hours,PfDHFR_Docking_LE,hDHFR_Docking_LE,Selectivity_Index,Selectivity_Index_LE
CCNC(=O)NC1CN(CC(=O)NCc2ccccc2C)C[C@@H]1OC,-7.58,,0.8728132843971252,-4.72193717956543,7.556003570556641,-0.3032,,,
Cc1ccc(NC(=S)c2ccncc2)cc1,-7.452,-7.967,0.052523087710142136,-4.621105670928955,3.665815830230713,-0.46575,-0.4979375,-0.5149999999999997,-0.03218749999999998
CC(C)c1ccc(OCC(=O)N2CCN(CCc3ccccn3)CC2)cc1,-8.137,-9.254,0.9630894064903259,-4.9124369621276855,3.8198254108428955,-0.3013703703703704,-0.34274074074074073,-1.116999999999999,-0.041370370370370335
Cc1ccc2c(ccn3cc4c(c(=O)n(C)c(=O)n4C)c23)c1,-8.301,,0.628858208656311,-4.639569282531738,12.594632148742676,-0.37731818181818183,,,
CCCN(CCC)S(=O)(=O)c1ccc(C(=O)N[C@@H](CS)C(N)=O)cc1,-7.312,-7.825,0.8201243281364441,-5.512015342712402,7.783029079437256,-0.29248,-0.313,-0.5129999999999999,-0.020519999999999983
CN(Cc1ccccc1)CC(C(=O)c1ccc(Cl)cc1)n1cnc2ccccc2c1=O,-10.47,,0.410875529050827,-4.844489574432373,15.076746940612793,-0.337741935483871,,,
CCC(C)c1ccc(Nc2nc(C)cs2)cc1,-7.849,-7.613,0.38339561223983765,-4.851817607879639,10.879562377929688,-0.4617058823529412,-0.44782352941176473,0.23599999999999977,0.013882352941176457
Cc1ccc(C)c2c(=O)cc(CN3CC[C@@H](N)[C@H](O)C3)[nH]c12,-8.68,-9.06,0.9582354426383972,-5.2490339279174805,2.4211881160736084,-0.39454545454545453,-0.41181818181818186,-0.3800000000000008,-0.01727272727272733
O=C(O)c1ccc2sc(Cn3ccnc3)c(Br)c2c1,-7.658,-6.974,0.05253323167562485,-5.262714385986328,2.38084077835083,-0.4030526315789474,-0.36705263157894735,0.6840000000000002,0.03600000000000003
CNC(=O)[C@@H]1Cc2ccc(NS(=O)(=O)O)cc2CN1C(=O)CCc1cccc(O)c1,-9.638,,0.4495086669921875,-5.513730049133301,1.6371766328811646,-0.32126666666666664,,,
O=C(Cc1ccc(O)cc1Cl)N1CCCC1CO,-7.578,,0.9617316722869873,-5.0386834144592285,3.8361668586730957,-0.42100000000000004,,,
COc1ccc(-c2c(-c3cc(OC)c4c(c3OC)OCO4)noc2N)cc1,-8.861,-8.9,0.12812374532222748,-4.598770618438721,22.202495574951172,-0.3281851851851852,-0.32962962962962966,-0.0389999999999997,-0.0014444444444444704
Cc1sc2nc(SCCCN3CCN(c4ccccc4)CC3)n(N)c(=O)c2c1C,-8.263,-9.544,0.9590616822242737,-5.360744476318359,7.6495561599731445,-0.28493103448275864,-0.3291034482758621,-1.2810000000000006,-0.04417241379310344
Cc1cc2c(c(C)c1Cl)C(=O)CC(c1ccccc1)O2,-8.878,-9.068,0.3466630280017853,-4.827330589294434,4.114451885223389,-0.4439,-0.45339999999999997,-0.1899999999999995,-0.009499999999999953
O=C(c1ccc(O)c2[nH]c(-c3cccs3)nc12)N1CCNCC1,-8.914,-8.076,0.8701619505882263,-5.168826103210449,1.1412698030471802,-0.38756521739130434,-0.3511304347826087,0.8379999999999992,0.03643478260869565
CCCC[C@]1(CC)CS(=O)(=O)c2cc(CN(C)CCC(=O)O)c(OC)cc2[C@@H](c2ccccc2)N1,-5.849,-5.66,0.9937372803688049,-5.391386032104492,2.9977810382843018,-0.16711428571428572,-0.16171428571428573,0.18900000000000006,0.005399999999999988
CC(C)c1c(Cc2c(F)cccc2F)nc(SCC(=O)c2ccc(F)cc2)[nH]c1=O,-8.818,-9.857,0.8066606521606445,-5.671638011932373,1.9536988735198975,-0.2939333333333333,-0.3285666666666666,-1.0389999999999997,-0.034633333333333294
CCCCN[C@H]1c2c(c3cc(OC)c(OC)cc3c3cc(OC)ccc23)CN2C(=O)CC[C@H]12,-7.995,-7.1,0.9752367734909058,-4.750654220581055,17.03919219970703,-0.24227272727272728,-0.21515151515151515,0.8950000000000005,0.02712121212121213
Cl.O=C1CN2Cc3c(sc4c3CCc3ccccc3-4)N=C2N1,,,0.10659069567918777,-4.68398904800415,10.908038139343262,,,,
NC(=O)c1nc(Nc2ccccc2)nn1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,-7.905,,0.4210488498210907,-5.7337775230407715,7.94071626663208,-0.32937500000000003,,,
CC1(O)CCc2c(C(=O)Nc3cnn(Cc4ccccc4)c3)n[nH]c2C1,-8.742,,0.8851616978645325,-5.2530670166015625,6.280143737792969,-0.3362307692307693,,,
NCc1ccc2c(c1)C1(CCN(C(=O)c3ccc(Sc4ccccc4)o3)CC1)CO2,-8.411,-9.402,0.3295127749443054,-5.555351734161377,6.687408924102783,-0.28036666666666665,-0.31339999999999996,-0.9909999999999997,-0.0330333333333333
CN(C)C(=O)Cn1ccc2cc(NC(=O)N3CCSCC3)ccc21,-7.707,,0.861786961555481,-5.193509101867676,4.8751912117004395,-0.321125,,,
COc1ccccc1CNc1cc(C)cc2c(=O)cc(N3CCOCC3)[nH]c12,-8.913,-8.94,0.9795301556587219,-5.126889228820801,7.020103454589844,-0.3183214285714286,-0.3192857142857143,-0.026999999999999247,-0.0009642857142856953
O=C1CC(Sc2ccc(F)cc2F)N1C(=O)NCc1ccccc1,-8.968,-9.4,0.6959454417228699,-5.881978511810303,3.487079381942749,-0.37366666666666665,-0.39166666666666666,-0.4320000000000004,-0.018000000000000016
COc1ccccc1-n1c(CNc2c(C)cccc2C)nnc1SCC(=O)N1CCOCC1,-8.313,-7.278,0.7906245589256287,-4.962407112121582,2.7832953929901123,-0.2519090909090909,-0.22054545454545454,1.035000000000001,0.03136363636363637
COc1cc(-c2cnn(C)c2)ccc1Nc1ncc2ccnc(NCC(C)(C)O)c2n1,-8.782,-8.993,0.9704527854919434,-4.8552350997924805,10.167247772216797,-0.2832903225806452,-0.2900967741935484,-0.2110000000000003,-0.006806451612903219
CCOC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](NC(=O)[C@@H](NC(=O)CC(C)C)C(C)C)C(C)C,-7.418,-7.35,0.034872595220804214,-5.2027082443237305,1.8625259399414062,-0.2181764705882353,-0.21617647058823528,0.0680000000000005,0.0020000000000000295
Cc1cc(-c2nc3ccccc3n2C[C@H]2CC[C@H](O)CC2)cn(C)c1=O,-9.495,-9.032,0.9775194525718689,-4.832238674163818,3.53578782081604,-0.36519230769230765,-0.3473846153846154,0.4629999999999992,0.017807692307692247
O=C(CCCOc1ccccc1)OCn1nnc2ccccc2c1=O,-8.943,-8.559,0.8048599362373352,-4.994582176208496,0.6095352172851562,-0.35772,-0.34236,0.38400000000000034,0.015359999999999985
C#CCn1cnc2c(ncn2[C@@H]2O[C@H](COC)[C@@H](OP(C)(=O)O)[C@H]2O)c1=O,-7.332,-7.464,0.25178074836730957,-5.127966403961182,1.833977222442627,-0.27155555555555555,-0.27644444444444444,-0.13200000000000056,-0.004888888888888887
COc1ccc(S(=O)(=O)N(Cc2ccccc2)Cc2nc(-c3ccccc3)no2)cc1,-9.9,,0.30507776141166687,-4.764892101287842,3.819196939468384,-0.31935483870967746,,,
CC(C)(C)C(=O)Nc1cc(C(F)(F)F)ccc1-n1ccnc1,-8.183,,0.5808390974998474,-4.213902950286865,13.208452224731445,-0.3719545454545454,,,
COc1ccc(S(=O)(=O)CCNC(=O)c2ccc(S(=O)(=O)c3ccc(CN)s3)cc2)cc1.Cl,,,0.03870654106140137,-5.347769737243652,4.242277145385742,,,,
